time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.038,-0.646,-0.012,0.003,-0.013,0.011,-0.168,-0.41,-0.028,
0.01,0,0,0,0,0,0,0,0,0,0.038,-0.646,-0.012,0.003,-0.013,0.011,-0.168,-0.41,-0.028,
0.02,0,0,0,0,0,0,0,0,0,0.038,-0.646,-0.012,0.003,-0.013,0.011,-0.168,-0.41,-0.028,
0.03,0,0,0,0,0,0,0,0,0,0.038,-0.646,-0.012,0.003,-0.013,0.011,-0.168,-0.41,-0.028,
0.04,0,0,0,0,0,0,0,0,0,0.038,-0.646,-0.012,0.003,-0.013,0.011,-0.168,-0.41,-0.028,
0.05,0,0,0,0,0,0,0,0,0,0.038,-0.646,-0.012,0.003,-0.013,0.011,-0.168,-0.41,-0.028,
0.06,0,0,0,0,0,0,0,0,0,0.003,10.461,-0.012,0.003,-0.013,0.011,-0.168,-0.41,-0.028,
0.07,0,0,0,0,0,0,0,0,0,0.003,10.461,-3.398,0.003,-0.004,0.011,-0.168,-0.41,-0.028,
0.08,0,0,0,0,0,0,0,0,0,0.003,10.461,-3.398,0.003,-0.004,0.003,-0.152,-0.396,-0.029,
0.09,0,0,0,0,0,0,0,0,0,0.003,10.461,-3.398,0.003,-0.004,0.003,-0.152,-0.396,-0.029,
0.09999999,0,0,0,0,0,0,0,0,0,0.003,10.461,-3.398,0.003,-0.004,0.003,-0.152,-0.396,-0.029,
0.11,0,0.05,0,0,0,0,0,0,0,0.003,10.461,-3.398,0.003,-0.004,0.003,-0.152,-0.396,-0.029,
0.12,0,0.05,0.02,0,0,0,0,0,0,0.003,10.461,-3.398,0.003,-0.004,0.003,-0.152,-0.396,-0.029,
0.13,0,0.05,0.02,0,0,0,0,0,0,0.003,10.461,-3.398,0.003,-0.004,0.003,-0.152,-0.396,-0.029,
0.14,0,0.05,0.02,0,0,0,0,0,0,0.038,2.096,-2.931,0.003,-0.004,0.003,-0.152,-0.396,-0.029,
0.15,0,0.05,0.02,0,0,0,0,0,0,0.038,2.096,-2.931,0.003,0.014,0.032,-0.038,-0.396,-0.029,
0.16,0,0.05,0.02,0,0,0,0,0,0,0.038,2.096,-2.931,0.003,0.014,0.032,-0.038,-0.397,-0.009,
0.17,0,0.05,0.02,0,0,0,0,0,0,0.038,2.096,-2.931,0.003,0.014,0.032,-0.038,-0.397,-0.009,
0.18,0,0.05,0.02,0,0,0,0,0,0,0.038,2.096,-2.931,0.003,0.014,0.032,-0.038,-0.397,-0.009,
0.19,0,0.15,0.1,0,0,0,0,0,0,0.038,2.096,-2.931,0.003,0.014,0.032,-0.038,-0.397,-0.009,
0.2,0,0.15,0.1,0,0,0,0,0,0,0.038,2.096,-2.931,0.003,0.014,0.032,-0.038,-0.397,-0.009,
0.21,0,0.15,0.1,0,0,0,0,0,0,0.038,2.096,-2.931,0.003,0.014,0.032,-0.038,-0.397,-0.009,
0.22,0,0.15,0.1,0,0,0,0,0,0,0.011,0.797,-0.608,0.023,0.014,0.032,-0.038,-0.397,-0.009,
0.23,0,0.15,0.1,0,0,0,0,0,0,0.011,0.797,-0.608,0.023,0.008,-0.015,-0.152,-0.397,-0.009,
0.24,0,0.15,0.1,0,0,0,0,0,0,0.011,0.797,-0.608,0.023,0.008,-0.015,-0.152,-0.427,0.031,
0.25,0,0.15,0.1,0,0,0,0,0,0,0.011,0.797,-0.608,0.023,0.008,-0.015,-0.152,-0.427,0.031,
0.26,0,0.15,0.1,0,0,0,0,0,0,0.011,0.797,-0.608,0.023,0.008,-0.015,-0.152,-0.427,0.031,
0.27,0,0.24,0.22,0,0,0,0,0,0,0.011,0.797,-0.608,0.023,0.008,-0.015,-0.152,-0.427,0.031,
0.28,0,0.24,0.22,0,0,0,0,0,0,0.011,0.797,-0.608,0.023,0.008,-0.015,-0.152,-0.427,0.031,
0.29,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.797,-0.608,0.023,0.008,-0.015,-0.152,-0.427,0.031,
0.3,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.495,-0.857,0.023,0.008,-0.015,-0.152,-0.427,0.031,
0.31,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.495,-0.857,0.012,0.008,-0.015,-0.152,-0.427,0.031,
0.32,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.495,-0.857,0.012,0.008,-0.015,-0.152,-0.427,0.031,
0.33,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.495,-0.857,0.012,0.008,-0.015,-0.152,-0.427,0.031,
0.34,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.495,-0.857,0.012,-0.006,-0.015,-0.152,-0.427,0.031,
0.35,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.495,-0.857,0.012,-0.006,-0.015,-0.152,-0.427,0.031,
0.36,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.495,-0.857,0.012,-0.006,-3.769,-2.045,-0.397,-0.048,
0.37,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.495,-0.857,0.012,-0.006,-3.769,-2.045,-0.397,-0.048,
0.38,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.495,-0.857,0.012,-0.006,-3.769,-2.045,-0.397,-0.048,
0.39,0,0.24,0.22,0,0,0,0,0,0,-0.036,0.495,-0.857,0.012,-0.006,-3.769,-2.045,-0.397,-0.048,
0.4,0,0.34,0.42,0,0,0,0,0,0,-0.036,0.495,-0.857,0.012,-0.006,-3.769,-2.045,-0.397,-0.048,
0.41,0,0.34,0.42,0,0,0.15,0.03,0,0,-0.036,0.495,-0.857,0.012,-0.006,-3.769,-2.045,-0.397,-0.048,
0.42,0,0.34,0.42,0,0,0.15,0.03,0,0,0.047,-0.278,-0.4,0.012,-0.006,-3.769,-2.045,-0.397,-0.048,
0.43,0,0.34,0.42,0,0,0.15,0.03,0,0,0.047,-0.278,-0.4,0.013,0.012,-0.513,-1.748,-0.397,-0.048,
0.44,0,0.34,0.42,0,0,0.15,0.03,0,0,0.047,-0.278,-0.4,0.013,0.012,-0.513,-1.748,-0.42,-0.009,
0.45,0,0.34,0.42,0,0,0.15,0.03,0,0,0.047,-0.278,-0.4,0.013,0.012,-0.513,-1.748,-0.42,-0.009,
0.46,0,0.34,0.42,0,0,0.15,0.03,0,0,0.047,-0.278,-0.4,0.013,0.012,-0.513,-1.748,-0.42,-0.009,
0.47,0,0.37,0.53,0,0,0.15,0.03,0,0,0.047,-0.278,-0.4,0.013,0.012,-0.513,-1.748,-0.42,-0.009,
0.48,0,0.37,0.53,0,0,0.45,0.16,0,0,0.047,-0.278,-0.4,0.013,0.012,-0.513,-1.748,-0.42,-0.009,
0.49,0,0.37,0.53,0,0,0.45,0.16,0,0,0.068,-0.406,-0.199,0.013,0.012,-0.513,-1.748,-0.42,-0.009,
