time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A),,, stock left extend pos (10cm), stock left slider pos (10cm),,
0,0,0,0,0,0,0,0,0,0,0.032,0.004,-0.001,-0.001,-0.017,0.036,0.003,-0.167,-0.014,,,0,0,,10
0.01,0,0,0,0,0,0,0,0,0,0.032,0.004,-0.001,0.01,0.005,0.001,-0.012,-0.203,-0.073,,,0,0,,
0.02,0,0,0,0,0,0,0,0,0,0.032,0.004,-0.001,0.01,0.005,0.001,-0.012,-0.203,-0.073,,,0,0,,
0.03,0,0,0.03,0,0,0,0,0,0,0.013,0.004,-0.001,0.01,0.005,0.001,-0.012,-0.203,-0.073,,,0,0,,
0.04,0,0,0.03,0,0,0,0,0,0,0.013,0.004,-2.927,-0.001,0.049,0.001,0.011,-0.226,-0.036,,,0,0,,
0.05,0,0,0.03,0,0,0,0,0,0,0.013,0.004,-2.927,-0.001,0.049,0.001,0.011,-0.226,-0.036,,,0,0,,
0.06,0,0,0.2,0,0,0,0,0,0,-0.008,-0.007,-1.065,0.005,0.028,0.036,0.026,-0.23,-0.036,,,0,0,,
0.07,0,0,0.2,0,0,0,0,0,0,-0.008,-0.007,-1.065,0.005,0.028,0.036,0.026,-0.23,-0.036,,,0,0,,
0.08,0,0,0.2,0,0,0,0,0,0,-0.008,-0.007,-1.065,0.005,0.028,0.036,0.026,-0.23,-0.036,,,0,0,,
0.09,0,0,0.47,0,0,0.24,0.06,0,0,-0.087,-0.007,-1.065,0.005,0.028,0.036,0.026,-0.23,-0.036,,,2.4,0.6,,
0.09999999,0,0,0.47,0,0,0.24,0.06,0,0,-0.087,-0.007,0.168,-0.001,0.018,-1.077,-1.889,-0.144,0.032,,,2.4,0.6,,
0.11,0,0,0.47,0,0,0.24,0.06,0,0,-0.087,-0.007,0.168,-0.001,0.018,-1.077,-1.889,-0.144,0.032,,,2.4,0.6,,
0.12,0,0,0.63,0,0,0.72,0.38,0,0,-0.027,0.004,-0.206,-0.001,0.012,0.393,-0.086,-0.167,0.014,,,7.2,3.8,,
