time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,
0.2,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,
0.3,0,0,0,0,0,1.045,0.215,-0.002,0,0,0,0,0,0,0,0,0,0,
0.4,0,0,0,0,0,4.246,1.865,-0.002,0,0,0,0,0,0,0,0,0,0,
0.5,0,0,0,0,0,6.712,4.286,-0.002,0,0,0,0,0,0,0,0,0,0,
0.6,0,0,0,0,0,8.57,6.46,-0.002,0,0,0,0,0,0,0,0,0,0,
0.7,0,0,0,0,0,9.665,8.498,-0.002,0,0,0,0,0,0,0,0,0,0,
0.8,0,0,0,0,0,9.999,10.258,-0.002,0,0,0,0,0,0,0,0,0,0,
0.9,0,0,0,0,0,9.83,11.821,-0.002,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,9.072001,12.947,-0.002,0,0,0,0,0,0,0,0,0,0,
1.1,0,0,0,0,0,7.638,13.879,-0.002,0,0,0,0,0,0,0,0,0,0,
1.2,0,0,0,0,0,5.575,14.532,-0.002,0,0,0,0,0,0,0,0,0,0,
1.3,0,0,0,0,0,2.719,14.923,-0.002,0,0,0,0,0,0,0,0,0,0,
1.4,0,0,0,0,0,-0.094,15,-0.002,0,0,0,0,0,0,0,0,0,0,
1.5,0.30275,0,0,0,0,0.007,14.976,-0.002,0,0,0,0,0,0,0,0,0,0,
1.6,0.97775,0,0,0,0,0,14.578,-0.002,0,0,0,0,0,0,0,0,0,0,
1.7,1.81975,0,0,0,0,0,13.147,-0.002,0,0,0,0,0,0,0,0,0,0,
1.8,2.43975,0,0,0,0,0,10.698,0.609,0.136,0,0,0,0,0,0,0,0,0,
1.9,2.84075,0,0,0,0,0,7.661,3.997,1.854,0,0,0,0,0,0,0,0,0,
2,2.99475,0,0,0,0,0,5.294,6.368,3.954,0,0,0,0,0,0,0,0,0,
2.1,2.93975,0,0,0,0,0,2.887,8.342,6.293,0,0,0,0,0,0,0,0,0,
2.2,2.13375,0,0,0,0,0,0.522,9.635,8.631,0,0,0,0,0,0,0,0,0,
2.3,1.283,0,0,0,0,0,-1.298,9.998,10.145,0,0,0,0,0,0,0,0,0,
2.4,0.632,0,0,0,0,0,-3.087,9.937,11.647,0,0,0,0,0,0,0,0,0,
2.5,0.2035,0,0,0,0,0,-4.698,9.292,12.893,0,0,0,0,0,0,0,0,0,
2.6,0.01325,0,0,0,0,0,-6.11,7.921,13.894,0,0,0,0,0,0,0,0,0,
2.7,-0.0005,0,0,0,0,0,-7.22,6.149,14.471,0,0,0,0,0,0,0,0,0,
2.8,0,0,0,0,0,0,-8.187,3.601,14.876,0,0,0,0,0,0,0,0,0,
2.9,-0.00025,0,0,0,0,0,-8.947001,0.594,14.999,0,0,0,0,0,0,0,0,0,
3,0.1835,0,0,0,0,0,-9.708,0.016,14.973,0,0,0,0,0,0,0,0,0,
3.1,0.802,0,0,0,0,0,-9.851,0.005,14.788,0,0,0,0,0,0,0,0,0,
3.2,1.685,0,0,0,0,0,-9.998,0,13.361,0,0,0,0,0,0,0,0,0,
3.3,2.34125,0,0,0,0,0.185,-9.959,-0.0009999999,11.29,0,0,0,0,0,0,0,0,0,
