time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0.0005,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0
0.1,0.0005,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0
0.3,0.00025,0,0,0,0,0.866,0.171,0,-0.002,0,0,0,0,0,0,0,0,0
0.4,0.0005,0,0,0,0,4.662,1.819,0,-0.002,0,0,0,0,0,0,0,0,0
0.5,0.00025,0,0,0,0,8.153,4.863,0,-0.002,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,10.643,7.785,0,-0.002,0,0,0,0,0,0,0,0,0
0.7,0.00025,0,0,0,0,12.218,10.577,0,-0.002,0,0,0,0,0,0,0,0,0
0.8,0.0005,0,0,0,0,12.698,12.637,0,-0.002,0,0,0,0,0,0,0,0,0
0.9,0.00025,0,0,0,0,12.617,14.493,0,-0.002,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,12.146,16.043,0,-0.002,0,0,0,0,0,0,0,0,0
1.1,0.0005,0,0,0,0,11.279,17.219,0,-0.002,0,0,0,0,0,0,0,0,0
1.2,0.0005,0,0,0,0,9.908,18.126,0,-0.002,0,0,0,0,0,0,0,0,0
1.3,0,0,0,0,0,8.322001,18.561,0,-0.002,0,0,0,0,0,0,0,0,0
1.4,0.00025,0,0,0,0,6.47,18.701,0,-0.002,0,0,0,0,0,0,0,0,0
1.5,0.66,0,0,0,0,6.487,18.671,0,-0.002,0,0,0,0,0,0,0,0,0
1.6,1.21475,0,0,0,0,6.425,18.463,0,-0.002,0,0,0,0,0,0,0,0,0
1.7,2.3755,0,0,0,0,6.068,16.855,0,-0.001,0,0,0,0,0,0,0,0,0
1.8,3.206,0,0,0,0,5.51,14.308,0.408,0.061,0,0,0,0,0,0,0,0,0
1.9,3.752,0,0,0,0,4.876,10.845,3.938,1.382,0,0,0,0,0,0,0,0,0
2,3.98775,0,0,0,0,4.243,7.518,7.563,4.293,0,0,0,0,0,0,0,0,0
2.1,3.92225,0,0,0,0,3.6,4.351,10.306,7.362,0,0,0,0,0,0,0,0,0
2.2,2.95125,0,0,0,0,3.026,1.487,12.034,10.161,0,0,0,0,0,0,0,0,0
2.3,1.826,0,0,0,0,2.501,-1.041,12.677,12.261,0,0,0,0,0,0,0,0,0
2.4,1.022,0,0,0,0,2.047,-3.278,12.671,14.164,0,0,0,0,0,0,0,0,0
2.5,0.479,0,0,0,0,1.632,-5.325,12.298,15.763,0,0,0,0,0,0,0,0,0
2.6,0.223,0,0,0,0,1.263,-7.162,11.487,17.073,0,0,0,0,0,0,0,0,0
2.7,0.1995,0,0,0,0,0.958,-8.645,10.358,17.914,0,0,0,0,0,0,0,0,0
2.8,0.2,0,0,0,0,0.701,-9.926001,8.780001,18.474,0,0,0,0,0,0,0,0,0
2.9,0.19975,0,0,0,0,0.498,-10.949,6.894,18.692,0,0,0,0,0,0,0,0,0
3,0.3935,0,0,0,0,0.272,-12.11,6.486,18.664,0,0,0,0,0,0,0,0,0
3.1,1.14175,0,0,0,0,0.245,-12.242,6.443,18.531,0,0,0,0,0,0,0,0,0
3.2,2.32675,0,0,0,0,0.203,-12.47,6.146,17.306,0,0,0,0,0,0,0,0,0
3.3,3.371,0,0,0,0,0.406,-12.477,5.479,14.182,0,0,0,0,0,0,0,0,0
3.4,3.85525,0,0,0,0,2.974,-11.153,4.96,11.334,0,0,0,0,0,0,0,0,0
3.5,4.1615,0,0,0,0,6.807,-6.895,4.322,7.926,0,0,0,0,0,0,0,0,0
3.6,4.19075,0,0,0,0,9.889,-1.487,3.614,4.351,0,0,0,0,0,0,0,0,0
3.7,3.38325,0,0,0,0,11.79,2.744,3.117,1.995,0,0,0,0,0,0,0,0,0
3.8,2.2725,0,0,0,0,12.837,6.702,2.592,-0.576,0,0,0,0,0,0,0,0,0
3.9,1.39375,0,0,0,0,13,10.221,2.107,-2.971,0,0,0,0,0,0,0,0,0
4,0.83025,0,0,0,0,12.765,13.102,1.667,-5.19,0,0,0,0,0,0,0,0,0
4.1,0.53875,0,0,0,0,12.129,15.286,1.321,-6.849,0,0,0,0,0,0,0,0,0
4.2,0.5,0,0,0,0,11.046,17.037,0.988,-8.479,0,0,0,0,0,0,0,0,0
4.3,0.49975,0,0,0,0,9.66,18.108,0.737,-9.735,0,0,0,0,0,0,0,0,0
4.4,0.49975,0,0,0,0,7.829,18.651,0.526,-10.793,0,0,0,0,0,0,0,0,0
4.5,0.499,0,0,0,0,6.676,18.635,0.254,-12.207,0,0,0,0,0,0,0,0,0
4.6,1,0,0,0,0,6.5,18.4,0.239,-12.273,0,0,0,0,0,0,0,0,0
4.7,2.30575,0,0,0,0,6.489,17.96,0.207,-12.443,0,0,0,0,0,0,0,0,0
4.8,3.484,0,0,0,0,5.77,14.778,0.481,-12.456,0,0,0,0,0,0,0,0,0
4.9,4.01125,0,0,0,0,5.385,12.687,2.39,-11.643,0,0,0,0,0,0,0,0,0
5,4.4115,0,0,0,0,4.718,8.988,6.635,-7.19,0,0,0,0,0,0,0,0,0
5.1,4.49625,0,0,0,0,3.965,5.285,10.01,-1.532,0,0,0,0,0,0,0,0,0
5.2,3.9865,0,0,0,0,3.52,3.059,11.543,1.93,0,0,0,0,0,0,0,0,0
5.3,2.8435,0,0,0,0,2.981,0.36,12.751,6.106,0,0,0,0,0,0,0,0,0
5.4,1.7495,0,0,0,0,2.409,-2.538,12.994,10.415,0,0,0,0,0,0,0,0,0
5.5,1.202,0,0,0,0,2.061,-4.265,12.81,12.546,0,0,0,0,0,0,0,0,0
