time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A),tilt left,rand,tilt left rand
0,0.00825,0,0,0,0,0.134,-0.754,0.043,-0.202,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.018,0,0,0,0,0.364,-1.241,0.131,-0.489,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.03125,0,0,0,0,0.702,-1.689,0.268,-0.761,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.04825,0,0,0,0,1.153,-2.105,0.449,-1.018,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.06925,0,0,0,0,1.753,-2.518,0.708,-1.296,0,0,0,0,0,0,0,0,0,0.522104769,0,0.522104769
0.5,0.093,0,0,0,0,2.39,-2.83,0.952,-1.491,0,0,0,0,0,0,0,0,0,1.03527618,0,1.03527618
0.6,0.12025,0,0,0,0,3.172,-3.141,1.275,-1.708,0,0,0,0,0,0,0,0,0,1.530733729,0,1.530733729
0.7,0.1515,0,0,0,0,3.989,-3.418,1.643,-1.912,0,0,0,0,0,0,0,0,0,2,0,2
0.8,0.186,0,0,0,0,4.854,-3.675,2.083,-2.112,0,0,0,0,0,0,0,0,0,2.435045716,0,2.435045716
0.9,0.218,0,0,0,0,5.607,-3.868,2.483,-2.284,0,0,0,0,0,0,0,0,0,2.828427125,0,2.828427125
1,0.25125,0,0,0,0,6.311,-4.04,2.905,-2.443,0,0,0,0,0,0,0,0,0,3.173413361,0,3.173413361
1.1,0.28325,0,0,0,0,6.921,-4.187,3.349,-2.598,0,0,0,0,0,0,0,0,0,3.464101615,0,3.464101615
1.2,0.31,0,0,0,0,7.393,-4.288,3.749,-2.735,0,0,0,0,0,0,0,0,0,3.69551813,0,3.69551813
1.3,0.334,0,0,0,0,7.776999,-4.362,4.122,-2.865,0,0,0,0,0,0,0,0,0,3.863703305,0,3.863703305
1.4,0.3535,0,0,0,0,8.019,-4.393,4.414,-2.971,0,0,0,0,0,0,0,0,0,3.965779445,0,3.965779445
1.5,0.37025,0,0,0,0,8.165,-4.4,4.678,-3.07,0,0,0,0,0,0,0,0,0,4,0,4
1.6,0.38275,0,0,0,0,8.2,-4.406,4.893,-3.154,0,0,0,0,0,0,0,0,0,3.893654271,0,3.893654271
1.7,0.3935,0,0,0,0,8.2,-4.5,5.09,-3.24,0,0,0,0,0,0,0,0,0,3.577848346,0,3.577848346
1.8,0.398,0,0,0,0,8.172,-4.656,5.195,-3.296,0,0,0,0,0,0,0,0,0,3.062177826,0,3.062177826
1.9,0.4,0,0,0,0,8.076,-4.905,5.269,-3.339,0,0,0,0,0,0,0,0,0,2.362311102,0,2.362311102
2,0.40025,0,0,0,0,7.912,-5.176,5.299,-3.368,0,0,0,0,0,0,0,0,0,1.499513268,0,1.499513268
2.1,0.39975,0,0,0,0,7.634,-5.475,5.301,-3.393,0,0,0,0,0,0,0,0,0,0.5,0,0.5
2.2,0.40225,0,0,0,0,7.4,-5.658,5.3,-3.398,0,0,0,0,0,0,0,0,0,-0.605858997,0,-0.605858997
2.3,0.4105,0,0,0,0,7.062,-5.863,5.27,-3.399,0,0,0,0,0,0,0,0,0,-1.784462756,0,-1.784462756
2.4,0.426,0,0,0,0,6.649,-6.056,5.206,-3.399,0,0,0,0,0,0,0,0,0,-3,0,-3
2.5,0.44775,0,0,0,0,6.17,-6.234,5.111,-3.368,0,0,0,0,0,0,0,0,0,-4.215537244,0,-4.215537244
2.6,0.47625,0,0,0,0,5.629,-6.391,4.981,-3.263,0,0,0,0,0,0,0,0,0,-5.394141003,0,-5.394141003
2.7,0.51175,0,0,0,0,5.004,-6.542,4.802,-3.071,0,0,0,0,0,0,0,0,0,-6.5,0,-6.5
2.8,0.55275,0,0,0,0,4.415,-6.654,4.622,-2.915,0,0,0,0,0,0,0,0,0,-7.499513268,0,-7.499513268
2.9,0.601,0,0,0,0,3.806,-6.756,4.415,-2.745,0,0,0,0,0,0,0,0,0,-8.362311102,0,-8.362311102
3,0.65575,0,0,0,0,3.189,-6.841001,4.205,-2.583,0,0,0,0,0,0,0,0,0,-9.062177826,0,-9.062177826
3.1,0.71775,0,0,0,0,2.589,-6.908999,4.005,-2.437,0,0,0,0,0,0,0,0,0,-9.577848346,0,-9.577848346
3.2,0.78,0,0,0,0,2.065,-6.956,3.837,-2.297,0,0,0,0,0,0,0,0,0,-9.893654271,0,-9.893654271
3.3,0.8435,0,0,0,0,1.592,-6.989,3.704,-2.176,0,0,0,0,0,0,0,0,0,-10,0,-10
3.4,0.9065,0,0,0,0,1.186,-6.997,3.605,-2.068,0,0,0,0,0,0,0,0,0,-9.761480784,0,-9.761480784
3.5,0.96725,0,0,0,0,0.781,-6.999,3.526,-1.944,0,0,0,0,0,0,0,0,0,-9.062177826,0,-9.062177826
3.6,1.019,0,0,0,0,0.555,-6.922,3.504,-1.876,0,0,0,0,0,0,0,0,0,-7.949747468,0,-7.949747468
3.7,1.06375,0,0,0,0,0.355,-6.676,3.5,-1.808,0,0,0,0,0,0,0,0,0,-6.5,0,-6.5
3.8,1.10275,0,0,0,0,0.206,-6.238,3.502,-1.747,0,0,0,0,0,0,0,0,0,-4.811733316,0,-4.811733316
3.9,1.135,0,0,0,0,0.122,-5.744,3.547,-1.695,0,0,0,0,0,0,0,0,0,-3,0,-3
4,1.1615,0,0,0,0,0.099,-5.265,3.646,-1.654,0,0,0,0,0,0,0,0,0,-1.188266684,0,-1.188266684
4.1,1.18275,0,0,0,0,0.099,-4.74,3.829,-1.619,0,0,0,0,0,0,0,0,0,0.5,0,0.5
4.2,1.19325,0,0,0,0,0.1,-4.455,3.962,-1.608,0,0,0,0,0,0,0,0,0,1.949747468,0,1.949747468
4.3,1.1995,0,0,0,0,0.106,-4.096,4.19,-1.603,0,0,0,0,0,0,0,0,0,3.062177826,0,3.062177826
4.4,1.20025,0,0,0,0,0.114,-3.731,4.561,-1.6,0,0,0,0,0,0,0,0,0,3.761480784,0,3.761480784
4.5,1.20025,0,0,0,0,0.127,-3.427,4.861,-1.452,0,0,0,0,0,0,0,0,0,4,0,4
4.6,1.20725,0,0,0,0,0.141,-3.238,5.149,-1.143,0,0,0,0,0,0,0,0,0,3.893654271,0,3.893654271
4.7,1.24,0,0,0,0,0.16,-3.027,5.551,-0.52,0,0,0,0,0,0,0,0,0,3.577848346,0,3.577848346
4.8,1.29975,0,0,0,0,0.181,-2.839,6.04,0.431,0,0,0,0,0,0,0,0,0,3.062177826,0,3.062177826
4.9,1.3815,0,0,0,0,0.205,-2.706,6.447,1.176,0,0,0,0,0,0,0,0,0,2.362311102,0,2.362311102
5,1.4905,0,0,0,0,0.232,-2.603,6.889,1.942,0,0,0,0,0,0,0,0,0,1.499513268,0,1.499513268
5.1,1.62575,0,0,0,0,0.259,-2.536,7.329,2.671,0,0,0,0,0,0,0,0,0,0.5,0,0.5
5.2,1.789,0,0,0,0,0.287,-2.505,7.741,3.346,0,0,0,0,0,0,0,0,0,-0.605858997,0,-0.605858997
5.3,1.9525,0,0,0,0,0.312,-2.5,8.209,4.151,0,0,0,0,0,0,0,0,0,-1.784462756,0,-1.784462756
5.4,2.12,0,0,0,0,0.335,-2.497,8.398001,4.473,0,0,0,0,0,0,0,0,0,-3,0,-3
5.5,2.2785,0,0,0,0,0.353,-2.483,8.662001,4.964,0,0,0,0,0,0,0,0,0,-4.215537244,0,-4.215537244
5.6,2.41575,0,0,0,0,0.37,-2.452,8.901999,5.465,0,0,0,0,0,0,0,0,0,-5.394141003,0,-5.394141003
5.7,2.5215,0,0,0,0,0.382,-2.416,9.054,5.795,0,0,0,0,0,0,0,0,0,-6.5,0,-6.5
5.8,2.6045,0,0,0,0,0.39,-2.372,9.182,6.123,0,0,0,0,0,0,0,0,0,-7.499513268,0,-7.499513268
