time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A),tilt left,rand,tilt left rand,,, lifter (mm), left extend (mm), stock left slider (mm),,
0,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0.032260974,0.032260974,0.2,,0,0,0,,0.1
0.1,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0.045954285,0.045954285,,,0,0,0,,
0.2,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0.063490367,0.063490367,,,0,0,0,,
0.3,0,0,0,0,0,1.045,0.215,-0.002,0,0,0,0,0,0,0,0,0,0,0,0.076594158,0.076594158,,,0,0.1045,0.0215,,
0.4,0,0,0,0,0,4.246,1.865,-0.002,0,0,0,0,0,0,0,0,0,0,0.522104769,0.112423541,0.63452831,,,0,0.4246,0.1865,,
0.5,0,0,0,0,0,6.712,4.286,-0.002,0,0,0,0,0,0,0,0,0,0,1.03527618,0.089218762,1.124494943,,,0,0.6712,0.4286,,
0.6,0,0,0,0,0,8.57,6.46,-0.002,0,0,0,0,0,0,0,0,0,0,1.530733729,0.114537551,1.645271281,,,0,0.857,0.646,,
0.7,0,0,0,0,0,9.665,8.498,-0.002,0,0,0,0,0,0,0,0,0,0,2,0.183580378,2.183580378,,,0,0.9665,0.8498,,
0.8,0,0,0,0,0,9.999,10.258,-0.002,0,0,0,0,0,0,0,0,0,0,2.435045716,0.025131494,2.46017721,,,0,0.9999,1.0258,,
0.9,0,0,0,0,0,9.83,11.821,-0.002,0,0,0,0,0,0,0,0,0,0,2.828427125,0.123196905,2.95162403,,,0,0.983,1.1821,,
1,0,0,0,0,0,9.072001,12.947,-0.002,0,0,0,0,0,0,0,0,0,0,3.173413361,0.058484285,3.231897646,,,0,0.9072001,1.2947,,
1.1,0,0,0,0,0,7.638,13.879,-0.002,0,0,0,0,0,0,0,0,0,0,3.464101615,0.052079209,3.516180824,,,0,0.7638,1.3879,,
1.2,0,0,0,0,0,5.575,14.532,-0.002,0,0,0,0,0,0,0,0,0,0,3.69551813,0.074549226,3.770067356,,,0,0.5575,1.4532,,
1.3,0,0,0,0,0,2.719,14.923,-0.002,0,0,0,0,0,0,0,0,0,0,3.863703305,0.074013491,3.937716796,,,0,0.2719,1.4923,,
1.4,0,0,0,0,0,-0.094,15,-0.002,0,0,0,0,0,0,0,0,0,0,3.965779445,0.146407996,4.112187441,,,0,-0.0094,1.5,,
