time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A),tilt left,rand,tilt left rand
0,0.0005,0,0,0,0,0,0.001,-0.001,-0.002,0,0,0,0,0,0,0,0,0,0,0.171518946,0.171518946
0.1,0,0,0,0,0,0,0.001,-0.001,-0.002,0,0,0,0,0,0,0,0,0,0,0.052147786,0.052147786
0.2,0.00025,0,0,0,0,0,0.001,-0.001,-0.002,0,0,0,0,0,0,0,0,0,0,0.165443856,0.165443856
0.3,0.0005,0,0,0,0,1.288,0.233,-0.001,-0.002,0,0,0,0,0,0,0,0,0,0,0.12267726,0.12267726
0.4,0.00025,0,0,0,0,6.246,2.561,-0.001,-0.002,0,0,0,0,0,0,0,0,0,0.783157153,0.086137174,0.869294327
0.5,0,0,0,0,0,10.19,5.972,-0.001,-0.002,0,0,0,0,0,0,0,0,0,1.552914271,0.165930924,1.718845194
0.6,0.00025,0,0,0,0,13.142,9.482,-0.001,-0.002,0,0,0,0,0,0,0,0,0,2.296100594,0.152139598,2.448240192
0.7,0.0005,0,0,0,0,14.912,12.567,-0.001,-0.002,0,0,0,0,0,0,0,0,0,3,0.074052149,3.074052149
0.8,0.00025,0,0,0,0,15.498,15.426,-0.001,-0.002,0,0,0,0,0,0,0,0,0,3.652568574,0.1682049,3.820773475
0.9,0,0,0,0,0,15.412,17.482,-0.001,-0.002,0,0,0,0,0,0,0,0,0,4.242640687,0.161184072,4.403824759
1,0.00025,0,0,0,0,14.867,19.318,-0.001,-0.002,0,0,0,0,0,0,0,0,0,4.760120042,0.174471408,4.93459145
1.1,0.0005,0,0,0,0,13.846,20.734,-0.001,-0.002,0,0,0,0,0,0,0,0,0,5.196152423,0.190440695,5.386593118
1.2,0.00025,0,0,0,0,12.343,21.733,-0.001,-0.002,0,0,0,0,0,0,0,0,0,5.543277195,0.139598718,5.682875913
1.3,0,0,0,0,0,10.287,22.349,-0.001,-0.002,0,0,0,0,0,0,0,0,0,5.795554958,0.096320961,5.891875918
1.4,0.0005,0,0,0,0,8.073999,22.503,-0.001,-0.002,0,0,0,0,0,0,0,0,0,5.948669168,0.133553298,6.082222466
1.5,0.599,0,0,0,0,7.99,22.477,-0.001,-0.002,0,0,0,0,0,0,0,0,0,6,0.150328587,6.150328587
1.6,1.655,0,0,0,0,7.856,21.977,-0.001,-0.002,0,0,0,0,0,0,0,0,0,5.840481407,0.151912695,5.992394102
1.7,3.01525,0,0,0,0,7.415,20.012,-0.001,-0.002,0,0,0,0,0,0,0,0,0,5.366772518,0.147064234,5.513836753
1.8,4.06425,0,0,0,0,6.658,16.187,0.979,0.209,0,0,0,0,0,0,0,0,0,4.59326674,0.111440223,4.704706962
1.9,4.71375,0,0,0,0,5.932,12.365,5.035,1.8,0,0,0,0,0,0,0,0,0,3.543466653,0.02051458,3.563981233
2,4.98975,0,0,0,0,5.16,8.383,9.468,5.344,0,0,0,0,0,0,0,0,0,2.249269902,0.001820174,2.251090076
2.1,4.8895,0,0,0,0,4.431,4.768,12.617,8.882,0,0,0,0,0,0,0,0,0,0.75,0.010322736,0.760322736
2.2,3.6655,0,0,0,0,3.732,1.218,14.777,12.435,0,0,0,0,0,0,0,0,0,-0.908788495,0.133322791,-0.775465704
2.3,2.38725,0,0,0,0,3.14,-1.62,15.475,14.82,0,0,0,0,0,0,0,0,0,-2.676694134,0.137124555,-2.53956958
2.4,1.4205,0,0,0,0,2.6,-4.313,15.466,17.123,0,0,0,0,0,0,0,0,0,-4.5,0.145755465,-4.354244535
2.5,0.7955,0,0,0,0,2.098,-6.881,14.976,19.19,0,0,0,0,0,0,0,0,0,-6.323305866,0.049408527,-6.273897339
2.6,0.517,0,0,0,0,1.691,-8.823,14.103,20.508,0,0,0,0,0,0,0,0,0,-8.091211505,0.170189544,-7.921021961
2.7,0.4995,0,0,0,0,1.334,-10.642,12.682,21.578,0,0,0,0,0,0,0,0,0,-9.75,0.035490924,-9.714509076
2.8,0.49975,0,0,0,0,1.041,-12.128,10.791,22.236,0,0,0,0,0,0,0,0,0,-11.2492699,0.153032304,-11.0962376
2.9,0.50025,0,0,0,0,0.811,-13.292,8.576,22.488,0,0,0,0,0,0,0,0,0,-12.54346665,0.188876809,-12.35458984
